term,count,topic1,topic2,topic3,source1,source1_count,source2,source2_count,source3,source3_count,source4,source4_count,source5,source5_count,source6,source6_count
a sustainable city,11,,,,LA City Geo Hub,11,,,,,,,,,,
activity-type,11,,,,ControlPanel LA,11,,,,,,,,,,
Fisheries,11,,,,California Natural Resources Agency Data Portal,11,,,,,,,,,,
healthcare quality,11,,,,California Health and Human Services Open Data Portal,11,,,,,,,,,,
city-of-los-angeles-controller,11,,,,ControlPanel LA,11,,,,,,,,,,
Placer,11,,,,California Natural Resources Agency Data Portal,11,,,,,,,,,,
lghc,11,,,,California Health and Human Services Open Data Portal,11,,,,,,,,,,
Nevada,11,,,,California Natural Resources Agency Data Portal,11,,,,,,,,,,
city-of-la-controller,11,,,,ControlPanel LA,11,,,,,,,,,,
Plant,11,,,,California Natural Resources Agency Data Portal,11,,,,,,,,,,
school districts,11,education,,,LA City Geo Hub,11,,,,,,,,,,
net-position,11,,,,ControlPanel LA,11,,,,,,,,,,
Shrew,11,,,,California Natural Resources Agency Data Portal,11,,,,,,,,,,
Angler,11,,,,California Natural Resources Agency Data Portal,11,,,,,,,,,,
DOR,11,,,,California Health and Human Services Open Data Portal,11,,,,,,,,,,
Family PACT,11,,,,California Health and Human Services Open Data Portal,11,,,,,,,,,,
groundwater,18,,,,California Natural Resources Agency Data Portal,11,LA City Geo Hub,7,,,,,,,,
asset-type-group,11,,,,ControlPanel LA,11,,,,,,,,,,
asset-type,11,,,,ControlPanel LA,11,,,,,,,,,,
2012,11,,,,California Natural Resources Agency Data Portal,11,,,,,,,,,,
Unit,11,,,,California Natural Resources Agency Data Portal,11,,,,,,,,,,
city-of-la,11,,,,ControlPanel LA,11,,,,,,,,,,
comprehensive-annual-financial-report,11,,,,ControlPanel LA,11,,,,,,,,,,
trails,11,,,,LA City Geo Hub,11,,,,,,,,,,
steelhead,10,,,,California Natural Resources Agency Data Portal,10,,,,,,,,,,
lets get healthy california,10,,,,California Health and Human Services Open Data Portal,10,,,,,,,,,,
children,17,education,,,California Health and Human Services Open Data Portal,10,LA City Geo Hub,4,County of Los Angeles Data Portal,3,,,,,,
age group,10,demographics,,,California Health and Human Services Open Data Portal,10,,,,,,,,,,
LAFD,10,,,,LA City Geo Hub,10,,,,,,,,,,
City of Long Beach,10,,,,City of Long Beach Data Portal,10,,,,,,,,,,
Snake,10,,,,California Natural Resources Agency Data Portal,10,,,,,,,,,,
School Attendance Boundaries,10,,,,LA City Geo Hub,10,,,,,,,,,,
housing,25,housing,,,LA City Geo Hub,10,Los Angeles Open Data,6,Performance LA,6,ControlPanel LA,2,California Health and Human Services Open Data Portal,1,,
14 mile,10,,,,LA City Geo Hub,10,,,,,,,,,,
characteristics,10,,,,California Natural Resources Agency Data Portal,10,,,,,,,,,,
Gull,10,,,,California Natural Resources Agency Data Portal,10,,,,,,,,,,
inpatient,10,,,,California Health and Human Services Open Data Portal,10,,,,,,,,,,
County,21,,,,California Health and Human Services Open Data Portal,10,California Natural Resources Agency Data Portal,8,LA City Geo Hub,3,,,,,,
Crossing Guard Boundaries,10,,,,LA City Geo Hub,10,,,,,,,,,,
Sorex,10,,,,California Natural Resources Agency Data Portal,10,,,,,,,,,,
Catch,10,,,,California Natural Resources Agency Data Portal,10,,,,,,,,,,
program-performance,10,,,,Los Angeles Open Data,10,,,,,,,,,,
Planning,19,,,,SCAG GIS Open Data Portal,10,California Natural Resources Agency Data Portal,5,City of Long Beach Data Portal,4,,,,,,
Warbler,10,,,,California Natural Resources Agency Data Portal,10,,,,,,,,,,
Vole,10,,,,California Natural Resources Agency Data Portal,10,,,,,,,,,,
Recreational,10,,,,California Natural Resources Agency Data Portal,10,,,,,,,,,,
Valley,10,,,,California Natural Resources Agency Data Portal,10,,,,,,,,,,
crime,17,,,,County of Los Angeles Data Portal,10,Los Angeles Open Data,2,LA City Geo Hub,2,Performance LA,2,California Health and Human Services Open Data Portal,1,,
Los Angeles Unified School District,10,,,,LA City Geo Hub,10,,,,,,,,,,
Survey,10,,,,California Natural Resources Agency Data Portal,10,,,,,,,,,,
